date,holiday
_Tamil Nadu,
01-Jan,New Year's Day
14-Jan,Pongal
16-Jan,Thiruvalluvar Day
17-Jan,Uzhavar Tirunal
26-Jan,Republic Day
18-Mar,Ugadi
29-Mar,Mahavir Jayanti
30-Mar,Good Friday
14-Apr,Dr Ambedkar Jayanti
14-Apr,Tamil New Year
01-May,May Day
15-Jun,Idul Fitr
15-Aug,Independence Day
22-Aug,Idul Juha
03-Sep,Janmashtami
13-Sep,Ganesh Chaturthi
20-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
18-Oct,Ayudha Puja
19-Oct,Dussehra
07-Nov,Deepavali
20-Nov,Id-e-Milad
25-Dec,Christmas Day
_Andhra pradesh,
DATE,HOLIDAY
14-Jan,Sankranti
26-Jan,Republic Day
13-Feb,Maha Shivratri
01-Mar,Doljatra
18-Mar,Ugadi
29-Mar,Mahavir Jayanti
14-Apr,Dr Ambedkar Jayanti
25-Apr,Ram Navami
15-Jun,Idul Fitr
15-Aug,Independence Day
22-Aug,Idul Juha
13-Sep,Ganesh Chaturthi
20-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
17-Oct,Durgastami
19-Oct,Dussehra
07-Nov,Deewali
20-Nov,Id-e-Milad
25-Dec,Christmas Day
_Arunachal Pradesh,
DATE,HOLIDAY
01-Jan,New Year's Day
14-Jan,Pongal
26-Jan,Republic Day
02-Mar,Holi
30-Mar,Good Friday
14-Apr,Bohag Bihu
29-May,Buddha Purnima
15-Jun,Idul Fitr
15-Aug,Independence Day
22-Aug,Idul Juha
02-Oct,Mahatma Gandhi Birthday
19-Oct,Dussehra
07-Nov,Deewali
23-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Assam,
DATE,HOLIDAY
14-Jan,Sankranti
23-Jan,Netaji Subhas Chandra Bose Jayanti
26-Jan,Republic Day
31-Jan,Me-dam-me-phi
01-Mar,Doljatra
30-Mar,Good Friday
13-Apr,Bohag Bihu Holiday
14-Apr,Bohag Bihu
01-May,May Day
29-May,Buddha Purnima
15-Jun,Idul Fitr
15-Aug,Independence Day
22-Aug,Idul Juha
03-Sep,Janmashtami
02-Oct,Mahatma Gandhi Birthday
16-Oct,Maha Saptami
17-Oct,Durgastami
18-Oct,Navami of Durga Puja
19-Oct,Dussehra
07-Nov,Deepavali
07-Nov,Kali Puja
14-Nov,Chhath Puja
23-Nov,Guru Nanak Birthday
_Bihar,
DATE,HOLIDAY
26-Jan,Republic Day
01-Mar,Doljatra
02-Mar,Holi
22-Mar,Bihar Divas
25-Mar,Ram Navami
30-Mar,Good Friday
01-Apr,Bank Holiday
14-Apr,Ashoka's Birth Anniversary
14-Apr,Dr Ambedkar Jayanti
01-May,May Day
15-Jun,Idul Fitr
15-Aug,Independence Day
22-Aug,Idul Juha
03-Sep,Janmashtami
20-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
18-Oct,Mahanavami
19-Oct,Dussehra
07-Nov,Deewali
14-Nov,Chhath Puja
25-Dec,Christmas Day
_Chhattisgarh,
DATE,HOLIDAY
26-Jan,Republic Day
04-Mar,Maha Shivratri
14-Apr,Ram Navami
17-Apr,Mahavir Jayanti
19-May,Buddha Purnima
05-Jun,Idul Fitr
12-Aug,Idul Juha
15-Aug,Independence Day
24-Aug,Janmashtami
10-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
08-Oct,Dussehra
27-Oct,Deewali
10-Nov,Id-e-Milad
12-Nov,Guru Nanak Birthday
_Delhi,
DATE,HOLIDAY
26-Jan,Republic Day
02-Mar,Holi
25-Mar,Ram Navami
29-Mar,Mahavir Jayanti
30-Mar,Good Friday
29-May,Buddha Purnima
15-Jun,Idul Fitr
15-Aug,Independence Day
22-Aug,Idul Juha
03-Sep,Janmashtami
20-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
19-Oct,Dussehra
24-Oct,Maharishi Valmiki Birthday
07-Nov,Deewali
20-Nov,Id-e-Milad
23-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Gujarat,
DATE,HOLIDAY
26-Jan,Republic Day
13-Feb,Maha Shivratri
25-Mar,Ram Navami
29-Mar,Mahavir Jayanti
29-May,Buddha Purnima
15-Jun,Idul Fitr
15-Aug,Independence Day
22-Aug,Idul Juha
03-Sep,Janmashtami
20-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
19-Oct,Dussehra
07-Nov,Deewali
21-Nov,Id-e-Milad
23-Nov,Guru Nanak Birthday
_Goa,
DATE,HOLIDAY
26-Jan,Republic Day
02-Mar,Holi
29-Mar,Mahavir Jayanti
30-Mar,Good Friday
01-May,May Day
15-Aug,Independence Day
22-Aug,Idul Juha
13-Sep,Ganesh Chaturthi
02-Oct,Mahatma Gandhi Birthday
19-Oct,Dussehra
07-Nov,Deewali
23-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
_Haryana,
DATE,HOLIDAY
22-Jan,Vasant Panchami
24-Jan,Sir Chhotu Ram Jayanti
26-Jan,Republic Day
10-Feb,Maharshi Dayanand Saraswati Jayanti
13-Feb,Maha Shivratri
01-Mar,Guru Ravidas Birthday
02-Mar,Holi
23-Mar,"Shaheedi Diwas of Bhagat Singh, Rajguru & Sukhdev"
25-Mar,Ram Navami
29-Mar,Mahavir Jayanti
14-Apr,Dr Ambedkar Jayanti
14-Apr,Vaisakhi
18-Apr,Parashurama Jayanti
29-May,Buddha Purnima
15-Jun,Idul Fitr
16-Jun,Maharana Pratap Jayanti
28-Jun,Sant Guru Kabir Jayanti
31-Jul,Martyrdom Day of Shaheed Udham Singh
15-Aug,Independence Day
22-Aug,Idul Juha
03-Sep,Janmashtami
12-Sep,Teej
20-Sep,Muharram (10th Day)
02-Oct,Mahatma Gandhi Birthday
10-Oct,Maharaja Agrasen Jayanati
19-Oct,Dussehra
24-Oct,Maharishi Valmiki Birthday
01-Nov,Haryana Day
07-Nov,Deewali
08-Nov,Vishvakarma Day
14-Nov,Chhath Puja
21-Nov,Id-e-Milad
23-Nov,Guru Nanak Birthday
25-Dec,Christmas Day
26-Dec,Shaheed Udham Singh's Birthday
_Himachal Pradesh,
DATE,HOLIDAY
25-Jan,Statehood Day
26-Jan,Republic Day
13-Feb,Maha Shivratri
01-Mar,Guru Ravidas Birthday
02-Mar,Holi
25-Mar,Ram Navami
30-Mar,Good Friday
14-Apr,Dr Ambedkar Jayanti
15-Apr,Himachal Day
18-Apr,Parashurama Jayanti
29-May,Buddha Purnima
15-Jun,Idul Fitr
16-Jun,Maharana Pratap Jayanti
28-Jun,Sant Guru Kabir Jayanti
15-Aug,Independence Day
